"scenario","region","subRegion","param","classLabel1","class1","classLabel2","class2","xLabel","x","vintage","units","value"
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",567.227686666667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",254.69499
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",41.9670826666667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",103.459579666667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",543.703966666667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",162.311955666667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",33.1164863333333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",78.0276460333333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",588.511751666667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",164.517724066667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",20.0386384
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","backup_electricity_CO2","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",1.76537166666667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",148.801574093333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",108.356942173333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",68.1440741666667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",8.500136986
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","backup_electricity_CO2","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",6.87540333333333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",157.219734367667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",183.85767631
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",82.3373570066667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",5.95386369233333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","backup_electricity_CO2","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",9.49633666666667
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.098847111
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",292.689481296667
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",34.870605
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",30.8390137
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",3.0748135
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",278.238436666667
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",22.8958766666667
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",9.2567024
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",9.54896873333333
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",276.63416
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",20.3583435946
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",8.91050123333333
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",14.254768
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",248.85641
