"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",313.465829233333
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",92.0890806402369
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",8.1084477015
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",0.229383735
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",10.94654286785
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",3.014629067
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",315.451973561267
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",97.806939736148
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",14.262526989675
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",0.3263163
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",11.749920909
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",3.43302276
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",284.888314445167
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",78.1285477016481
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",19.27632644775
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",0.36637675
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",10.10545302365
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",3.694647865
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",324.517152960733
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",83.618470405877
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",21.51566773155
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",0.41298665
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",10.84621272675
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",4.22887887254
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",95.30578291234
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",29.6585047312369
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",15.33176889363
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",0.30598175
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",10.631606114353
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",1.10902718274
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",130.261074828793
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",34.5858650632489
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",15.913404373995
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",0.37412
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",11.21704361975
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",1.524422408842
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",987.599625466667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",574.833342236728
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.0156041748
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",2.965559
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",21.2485607070772
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",4.99010836
