"scenario","region","subRegion","param","classLabel","class","xLabel","x","vintage","units","value"
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",1060.1353740497
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",1901.94590666667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",198.3798072
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",4.0215307617
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",13.56134797
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",4.0240037
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",31.0695297410568
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",5.24041504
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",861.952610489175
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",1685.18397666667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",191.92952277
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",3.7907184912
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",13.97643072
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",3.41878
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",30.984379558412
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",3.3396199144
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",861.261462098764
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",1705.72226366667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",193.1154052869
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",3.5071983567
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",12.7944977646
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",3.4704988
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",32.6284721052472
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",1.77734099536
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",409.721958138113
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",681.356261505333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",133.8606291681
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",6.261074350324
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",4.63017156863
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",2.5614671
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",33.6870749496624
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",2.00447599072
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",444.233267994342
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",877.729936086667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",132.6583052739
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",6.24267187752
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",5.98339584572
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",2.9632654
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",8.657364198
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",1.4052636248
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",131.508139655449
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",358.497947107667
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.0003896084475
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.7870550721
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",1.3069820723
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.125633585
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",10.3138561708
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",1.099648172
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",92.0890806402369
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",313.465829233333
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",8.1084477015
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",0.63268669705
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",1.914980895
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",0.229383735
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",10.9943651944
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",1.12778988
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",97.806939736148
