"scenario","region","subRegion","sources","x","xLabel","vintage","units","aggregate","class2","class1","classPalette1","classPalette2","origScen","origQuery","origUnits","origX","value","origValue","classLabel1","classLabel2","param"
"Baseline_NDC","EU-15","EU-15","Sources",2015,"Year","Vint_2015","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2015,206.919159333333,56.432498,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2015,"Year","Vint_2015","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2015,1087.40793333333,296.5658,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2015,"Year","Vint_2015","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2015,324.623911333333,88.533794,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2015,"Year","Vint_2015","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2015,66.2329726666667,18.063538,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2020,"Year","Vint_2020","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2020,156.055292066667,42.5605342,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2020,"Year","Vint_2020","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2020,1177.02350333333,321.00641,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2020,"Year","Vint_2020","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2020,329.035448133333,89.7369404,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2020,"Year","Vint_2020","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2020,40.0772768,10.9301664,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2020,"Year","Vint_2020","GHG emissions - (MTCO2eq)","sum","CO2","backup_electricity_CO2","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2020,3.53074333333333,0.96293,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2025,297.603148186667,81.16449496,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2025,216.713884346667,59.10378664,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2025,136.288148333333,37.169495,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2025,17.000273972,4.636438356,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","backup_electricity_CO2","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2025,13.7508066666667,3.75022,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2030,"Year","Vint_2030","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2030,314.439468735333,85.756218746,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2030,"Year","Vint_2030","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2030,367.71535262,100.28600526,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2030,"Year","Vint_2030","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2030,164.674714013333,44.91128564,"sector","ghg","emissGHGBySectorPowerGWPAR5"
